feature,value,count,rate
Month,May,3364,0.27283049472830495
Month,Nov,2998,0.24314679643146797
Month,Mar,1907,0.15466342254663423
Month,Dec,1727,0.14006488240064882
Month,Oct,549,0.04452554744525548
Month,Sep,448,0.036334144363341446
Month,Aug,433,0.03511759935117599
Month,Jul,432,0.035036496350364967
Month,June,288,0.02335766423357664
Month,Feb,184,0.01492295214922952
OperatingSystems,2,6601,0.535360908353609
OperatingSystems,1,2585,0.20965125709651258
OperatingSystems,3,2555,0.20721816707218166
OperatingSystems,4,478,0.03876723438767234
OperatingSystems,8,79,0.006407137064071371
OperatingSystems,6,19,0.0015409570154095702
OperatingSystems,7,7,0.0005677210056772101
OperatingSystems,5,6,0.00048661800486618007
Browser,2,7961,0.6456609894566099
Browser,1,2462,0.1996755879967559
Browser,4,736,0.05969180859691808
Browser,5,467,0.03787510137875101
Browser,6,174,0.014111922141119221
Browser,10,163,0.01321978913219789
Browser,8,135,0.010948905109489052
Browser,3,105,0.00851581508515815
Browser,13,61,0.004947283049472831
Browser,7,49,0.00397404703974047
Browser,12,10,0.0008110300081103001
Browser,11,6,0.00048661800486618007
Browser,9,1,8.110300081103001e-05
Region,1,4780,0.38767234387672345
Region,3,2403,0.1948905109489051
Region,4,1182,0.09586374695863747
Region,2,1136,0.09213300892133008
Region,6,805,0.06528791565287916
Region,7,761,0.06171938361719383
Region,9,511,0.04144363341443633
Region,8,434,0.03519870235198702
Region,5,318,0.02579075425790754
TrafficType,2,3913,0.31735604217356045
TrafficType,1,2451,0.19878345498783456
TrafficType,3,2052,0.16642335766423358
TrafficType,4,1069,0.08669910786699107
TrafficType,13,738,0.059854014598540145
TrafficType,10,450,0.0364963503649635
TrafficType,6,444,0.03600973236009732
TrafficType,8,343,0.02781832927818329
TrafficType,5,260,0.021086780210867802
TrafficType,11,247,0.02003244120032441
TrafficType,20,198,0.016058394160583942
TrafficType,9,42,0.0034063260340632603
TrafficType,7,40,0.0032441200324412004
TrafficType,15,38,0.0030819140308191405
TrafficType,19,17,0.00137875101378751
TrafficType,14,13,0.00105433901054339
TrafficType,18,10,0.0008110300081103001
TrafficType,16,3,0.00024330900243309004
TrafficType,12,1,8.110300081103001e-05
TrafficType,17,1,8.110300081103001e-05
VisitorType,Returning_Visitor,10551,0.8557177615571776
VisitorType,New_Visitor,1694,0.13738848337388485
VisitorType,Other,85,0.006893755068937551
Weekend,False,9462,0.767396593673966
Weekend,True,2868,0.23260340632603407
Revenue,False,10422,0.8452554744525548
Revenue,True,1908,0.15474452554744525
