scenario,model,best_params,cv_f1,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
with_page_values,random_forest_champion,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.6726039407328163,0.8751013787510138,0.8256197807277588,0.5737051792828686,0.7539267015706806,0.6515837104072398,0.9201796786284934,0.7108731856169974
with_page_values,gradient_boosting,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.6621342782717072,0.8986212489862125,0.7711207806172182,0.7088607594936709,0.5863874345549738,0.6418338108882521,0.9263536191978776,0.7363220316276594
with_page_values,decision_tree,"{'model__max_depth': 5, 'model__min_samples_leaf': 100}",0.6419318033742786,0.8471208434712084,0.8443413290992956,0.5039246467817896,0.8403141361256544,0.6300294406280668,0.9173458210650078,0.6747485281695556
with_page_values,logistic_regression,{'model__C': 0.1},0.6196516498523407,0.8454987834549879,0.8027604988393243,0.5008849557522124,0.7408376963350786,0.597676874340021,0.8949977891891349,0.6252176126536748
with_page_values,knn,"{'model__n_neighbors': 7, 'model__weights': 'distance'}",0.4892424443204138,0.875506893755069,0.6676510637015003,0.6829268292682927,0.36649214659685864,0.47700170357751276,0.7961933856558572,0.5264189135151321
with_page_values,dummy_baseline,{},0.0,0.8450932684509327,0.5,0.0,0.0,0.0,0.5,0.1549067315490673
without_page_values,random_forest_champion,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 20}",0.4194352234458248,0.6861313868613139,0.6806772618102521,0.2836644591611479,0.6727748691099477,0.39906832298136646,0.757181366884063,0.3529025555443923
without_page_values,logistic_regression,{'model__C': 0.1},0.3945544606393298,0.6309813463098135,0.6779790676407633,0.25956284153005466,0.7460732984293194,0.3851351351351351,0.7364499904533167,0.3269017991814055
without_page_values,decision_tree,"{'model__max_depth': 8, 'model__min_samples_leaf': 100}",0.3938820618424599,0.6553122465531225,0.668856960537026,0.26458752515090544,0.6884816753926701,0.38226744186046513,0.7407598154977842,0.3231420133839457
without_page_values,gradient_boosting,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.23862006488059354,0.8422546634225466,0.5549763342746028,0.4690265486725664,0.1387434554973822,0.21414141414141416,0.7622976354372885,0.3503190865775053
without_page_values,knn,"{'model__n_neighbors': 7, 'model__weights': 'distance'}",0.18448381552404777,0.8292781832927818,0.541953904593462,0.35555555555555557,0.1256544502617801,0.18568665377176016,0.6710508134779071,0.27288518579840143
without_page_values,dummy_baseline,{},0.0,0.8450932684509327,0.5,0.0,0.0,0.0,0.5,0.1549067315490673
